id,category,brand,country,description,typical_use,price_range,duration,popular
P001,Botox,Botox Allergan,USA,Gold standard Botox,หน้าผาก หางตา หมิ่น,8000-12000,4-6 เดือน,TOP
P002,Botox,Nabota,Korea,ราคาประหยัด คุณภาพดี,หน้าผาก หางตา,6000-10000,4-6 เดือน,TOP
P003,Botox,Dysport,UK,กระจายดี onset เร็ว,หน้ากว้าง หน้าผาก,7000-11000,4-6 เดือน,TOP
P004,Botox,Xeomin,Germany,Pure neurotoxin ไม่มี protein,หน้าผาก หางตา,7000-10000,4-6 เดือน,รอง
P005,Botox,Coretox,Korea,Liquid form ไม่ต้องผสม,หน้าผาก หางตา หมิ่น,6000-9000,4-6 เดือน,กระแส
P006,Botox,Innotox,Korea,Ready-to-use ไม่ต้องผสมน้ำ,หน้าผาก หางตา,6000-9000,4-6 เดือน,กระแส
P007,Botox,Meditoxin,Korea,ราคาประหยัด diffusion น้อย,หน้าผาก หางตา,5500-8500,4-6 เดือน,รอง
P008,Botox,Neuronox,Korea,Freeze-dried ทนทาน,หน้าผาก หางตา,6000-9000,4-6 เดือน,รอง
P009,Botox,Botulax,Korea,ราคาถูกสุด diffusion มาก,หน้าผาก หางตา,5000-7000,4-6 เดือน,รอง
P010,Filler,Juvederm Voluma XC,USA,ยกกระชับแก้ม คาง,แก้ม คาง หน้าผาก,20000-30000,12-18 เดือน,TOP
P011,Filler,Juvederm Volift XC,USA,ริ้วรอยลึก ร่องแก้ม,ร่องแก้ม รอบปาก,18000-25000,12-18 เดือน,TOP
P012,Filler,Juvederm Volbella XC,USA,ปาก ใต้ตา นุ่ม,ปาก ใต้ตา,15000-22000,12-18 เดือน,TOP
P013,Filler,Juvederm Ultra Plus XC,USA,ปาก ร่องแก้ม,ปาก ร่องแก้ม,16000-23000,9-12 เดือน,รอง
P014,Filler,Juvederm Ultra XC,USA,ผิวตื้น ริ้วรอยเล็ก,ริ้วรอยตื้น,15000-20000,9-12 เดือน,รอง
P015,Filler,Juvederm Vollure XC,USA,ริ้วรอยปานกลาง ทนนาน,ร่องแก้ม รอบปาก,17000-24000,12-18 เดือน,รอง
