id,name,age_range,budget,pain_points,trigger_words
C01,Gen Z Trendseeker,18-25,2000-5000,กลัวแพง งบน้อย|กลัวพลาด ไม่มีประสบการณ์|กลัวโดนหลอก กลัวของปลอม|กลัวพ่อแม่รู้|กลัวเจ็บ,โปรนักศึกษาลดพิเศษ 20%|ของแท้ 100% มี QR code|ไม่เจ็บ มียาชา|เห็นผลไวใน 3-7 วัน|ดารา influencer ทำที่นี่|ถ่ายรูปสวยแน่นอน|TikTok viral|ผ่อน 0%
C02,Gen Y Perfectionist,26-40,10000-50000,กลัวดูแก่ เพื่อนยังสาว|กลัวไม่คุ้ม ทำแล้วไม่เห็นผล|ไม่มีเวลา งานยุ่ง|กลัวหน้าแข็ง ทำแล้วเหมือนหุ่น|กลัวคนรู้ อยากดูธรรมชาติ,ดูอ่อนกว่าวัยจริง 5-10 ปี|ผลลัพธ์ Natural ไม่มีใครรู้|ไม่มี downtime ทำงานได้เลย|คุ้มค่าระยะยาว อยู่ได้ 1-2 ปี|ของแท้ FDA approved|ผู้บริหารทำกันเยอะ
C03,Gen X Ageless,41+,50000-200000,กลัวดูแก่เกินวัย|ผิวหย่อนคล้อย แก้มตก|ฝ้าหนา ริ้วรอยลึก|กลัวทำแล้วไม่เห็นผล|กลัวดูเทียม หน้าตึง,ย้อนวัย 10-15 ปี แต่ธรรมชาติ|ยกกระชับระดับ SMAS ลึกสุด|FDA approved มาตรฐานสากล|ผู้ใหญ่ระดับสูงใช้บริการเยอะ|ไม่ต้องผ่าตัด ไม่มีแผล|ผลคงทนนาน 1-2 ปี
C04,Bride to be,25-35,30000-100000,กดดันเวลา เหลือไม่มาก|กลัวผลไม่ทันออก|กลัวบวม ช้ำ downtime|กลัวหน้าแข็งเทียม ถ่ายรูปไม่สวย|งบจำกัด ต้องแบ่งงานแต่ง,แพ็คเกจ Bridal พิเศษ ครบทุกความต้องการ|Timeline ชัดเจน ผลออกทันแน่นอน|ผิวออร่า กระจ่างใส ในวันสำคัญ|ถ่ายรูปสวยทุกองศา|หน้าวี หน้าเรียว คมชัด|เจ้าสาวหลายร้อยคนไว้ใจ|ผ่อน 0% พิเศษเจ้าสาว
C05,The Fixer,25-45,10000-50000,บาดใจมาก เคยโดนหลอก|กลัวเสียเงินเพิ่ม ทำหลายที่แล้ว|กลัวแก้ไม่ได้ ติดตัวไป|ขี้ระแวง ถามเยอะ ไม่เชื่อ|เครียดมาก รูปหน้าเสียไป,เชี่ยวชาญแก้เคสยาก ประสบการณ์หลายพันเคส|Hyalase ของแท้ ละลาย Filler ปลอดภัย|หมอเห็นเคสนี้บ่อย แก้ได้แน่นอน|ให้คำปรึกษาฟรีก่อน ไม่เสียเงินถ้าไม่มั่นใจ|รับประกันผลงาน ถ้าไม่พอใจคืนเงิน|มีภาพก่อน-หลัง แก้เคสจริง
C06,Naturalist,30-50,5000-80000,กลัวเข็ม เห็นเข็มแล้วขนลุก|กลัวหน้าแข็ง เห็นคนอื่นทำตึง|กลัวผลข้างเคียง กลัวแพ้|กลัวดูเทียม ไม่อยากให้รู้|งบจำกัด ไม่อยากแพงเกิน,ไม่ใช้เข็ม ไม่มีแผล|ธรรมชาติ 100% ไม่มีใครรู้ว่าทำ|ปลอดภัย FDA approved|กระตุ้นคอลลาเจนตัวเอง ไม่พอกพูน|ผลค่อยเป็นค่อยไป ไม่ช็อก|ไม่เจ็บ มียาชา ยาทาชา|Skin Booster บำรุงผิวจากภายใน
C07,Budget Hunter,20-40,3000-15000,กลัวแพง รายได้ไม่สูง|กลัวไม่คุ้ม จ่ายไปไม่เห็นผล|เปรียบเทียบ หลายที่ถูกกว่า|FOMO กลัวพลาดโปร|ไม่มั่นใจ กลัวคุณภาพไม่ดี,โปรพิเศษเดือนนี้ เท่านั้น|ลดสูงสุด 30-50%|ซื้อ 1 แถม 1|Bundle Package คุ้มสุด|ของแถมมูลค่า|Flash Sale วันนี้-พรุ่งนี้|สะสมแต้ม แลกของรางวัล|ผ่อน 0% ไม่มีดอกเบี้ย
C08,Male Aesthetic,25-50,10000-100000,อายเข้าคลีนิก กลัวถูกมอง|กลัวดูหวานเกิน ต้องการดูแมน|รูขุมขนกว้าง สิวเสี้ยน|ไม่มีเวลา ทำงานไม่อยากมาบ่อย|ไม่รู้จะทำอะไร ไม่เคยทำ,ดูดี มีออร่า แต่ยังแมน|ไม่หวาน ดูเป็นธรรมชาติ|ลูกค้าชายเยอะ มั่นใจได้|รวดเร็ว ไม่เสียเวลา|ห้องส่วนตัว ไม่ต้องกังวล|ผู้บริหาร ดารา ทำกันเยอะ|แก้ปัญหาตรงจุด ไม่ต้องมาบ่อย
C09,Influencer Creator,20-35,5000-30000,ต้องสวยหน้ากล้องตลอด ถ่ายคอนเทนต์ทุกวัน|Downtime ต้องน้อย ไม่หยุดถ่าย|ต้องเห็นผลไว ไม่มีเวลารอ|งบจำกัด ไม่ได้รวยแต่ต้องดูดี|แลกรีวิว อยากได้ส่วนลดหรือฟรี,เห็นผลทันที ถ่ายรูปปังเลย|ไม่มี downtime ถ่ายคอนเทนต์ได้เลย|Influencer Package พิเศษ|รีวิวแลกส่วนลด หรือฟรี|ถ่าย Before-After สวยๆ ให้|Viral หนักมากตอนนี้|Celeb ดารา YouTuber ทำเยอะ
C10,Mua โหงวเฮ้ง,30-55,15000-60000,ดวงไม่ดี เจ๊ง ขาดทุน|หน้าไม่ดี คางสั้น จมูกต่ำ|อยากเปลี่ยนชีวิต ทำธุรกิจ อยากรวย|เชื่อศาสตร์ ต้องทำให้ถูกจุด|กลัวผิดหลักมูเตลู,ปรับรูปหน้าตามหลักมูเตลู|เรียกทรัพย์ เสริมดวง|คางยาว = อายุยืน มั่งคั่ง|ปากอิ่ม = โชคลาภ|จมูกสูง = การเงินดี|ลูกค้าหลายคนทำแล้วดวงดีขึ้นจริง|หมอมีที่ปรึกษาด้านโหงวเฮ้ง
